CASEID,MARITAL,B1AGE,AGEDISP,RACER,SEX_N,AGE_N,RACE_N,HSPNC_N,OTHERR_N,EDU_N,JOB1_N,JOB2_N,JOB3_N,JOB4_N,PHOUR_N,VHOUR_N,STDNT_N,SAMESEX,C1SITUAT,PARTNERS,PABUSE,ABUSENP,RELANAME,RELAEXFO,LENGTHTO,LENGTHON,LENGTH4,CHNGE_N,CODE1_N,DATE1_N,CODE2_N,DATE2_N,CODE3_N,DATE3_N,LIVE_N,LIVEWITH,LIVEWR,LIVNEVER,LIVALLYR,NOHOME,APART_N,APARTR,APART3,REASON1,REASON2,REASON3,REASON4,CHILDR,RETRN_N,REASONR1,REASONR2,REASONR3,REASONR4,REASONR5,CHILDCB,L28KIDSN,KIDSNUM,FOSTER_N,KIDLIV_N,KIDIV2_N,DECEASED,STDETAI,STEPCHIL
148120,  1,19,  4,1,  1, 26,  1,1,1,  4,  9,9999,9999,9999, 999,9999,777,0,1,1,1,0,  6,  1,  1,1,1,9999,9999, 1,9999, 1,9999,1,  5,  0,0,  1,  0,  2,  1,  1,0,  14,9999,9999,9999,0,   1,  17,9999,9999,9999,9999,0,  3,  0,9999,9999,9999,0,  1,  1
148122,  1,26,  1,9,  1, 28,  1,1,1,  9,  2,9999,9999,9999, 999,9999,777,0,1,1,1,0,  5,  0,  4,2,4,   2,9999, 1,9999, 1,9999,1,  5,  0,0,  1,  0,  2,  2,  1,0,  19,9999,9999,9999,0,   1,   9,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  2,  2
148156,  1,32,  1,1,  2, 31,  1,1,1,  9,  2,9999,9999,9999, 999,9999,777,1,1,1,1,0,  7,  0,  2,2,2,   1,   5,17,9999, 1,9999,1,  1,  1,1,  0,  1,  2,  2,  1,0,  19,9999,9999,9999,0,   1,  11,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  2,  2
148164,  1,20,  4,1,  1, 26,  7,1,3,  4,  3,9999,9999,9999, 888,9999,777,0,1,1,1,0,  6,  1,  1,1,1,   2,9999, 1,9999, 1,9999,1,  5,  0,0,  1,  0,  1,  3,  1,1,   6,9999,9999,9999,0,9999,9999,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  1,  1
148204,  1,22,  1,1,  1, 22,  1,1,1,  5,  7,9999,9999,9999, 999,9999,  2,0,1,1,1,0,  5,  0,  2,2,2,   1,   7,22,9999, 1,9999,1,  2,  0,0,  0,  0,  2,  2,  1,0,  11,9999,9999,9999,0,   1,  15,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  2,  2
148205,  1,18,  1,1,  1, 21,  1,1,1,888,  9,9999,9999,9999,9999,9999,777,0,3,2,1,0,  6,  1,  1,1,1,   2,9999, 1,9999, 1,9999,1,  5,  0,0,  1,  0,  2,  3,  1,1,   1,9999,9999,9999,0,   2,9999,9999,9999,9999,9999,0,  3,999,9999,9999,9999,0,  2,  2
148209,  1,18,  4,1,  1, 23,  1,1,1,  4,  2,9999,9999,9999,9999,9999,777,0,3,2,1,0,  6,  1,  5,2,4,   1,   3,20,   8, 5,9999,1,  2,  1,1,  0,  0,  2,  1,  1,0,  13,  12,9999,9999,0,   1,  16,9999,9999,9999,9999,0,  3,999,9999,9999,9999,0,  2,  2
148210,  1,18,  1,1,  1, 19,  1,1,1,  4,  2,9999,9999,9999, 999,9999,777,0,1,1,1,0,  5,  0,  2,2,2,   2,9999, 1,9999, 1,9999,1,  5,  0,0,  1,  0,  2,  3,  1,1,   1,  12,   7,9999,0,   1,   8,9999,9999,9999,9999,0,  3,999,9999, 777,9999,0,  2,  2
148241,  1,18,  1,1,  1, 21,  1,1,1,  4,  9,9999,9999,9999, 999,9999,777,0,1,1,1,0,  5,  0,  4,2,4,   1,   2,14,9999, 1,9999,1,  3,  1,1,  0,  0,  2,  1,  1,0,  11,9999,9999,9999,0,   1,   9,   3,  11,9999,9999,0,  3,999,9999, 777,9999,0,  2,  2
148242,  1,18,  1,1,  1, 18,  1,1,1,  3,888,9999,9999,9999,9999,9999,777,0,3,2,1,0,  6,  1,  1,1,1, 888,9999, 1,9999, 1,9999,1,  5,  0,0,  1,  0,  2,  2,  1,0,   1,  10,9999,9999,0,   2,9999,9999,9999,9999,9999,0,  3,999,9999,9999,9999,0,  1,  1
