CASEID,INVIEWN,ABUSED,C1SITUAT,PARTNERS,PABUSE,L1SAME,L2NAME,L3CURRNT,L4RELATE,L5TIME,L5YEARS,L5MNTHS,L5DATE,L6RELATE,L6OTHER,L7TIME,L7DATE,L7YEAR,L7END,L7BEGIN,L7MNTH,L7OTHER,L8ALL,L11CURNT,L12RELAT,L13TIME,L13YEARS,L14RELAT,L15TIME,L15YEARS,L15MNTH,L16SEX,L17AGE,B1AGE,AGEDISP,L18RACE,L18HSPNC,L18OTHER,L19EDU,L20JOB1,L20JOB2,L20JOB3,L20JOB4,L20PHOUR,L20VHOUR,L20STDNT,L21CHNGE,L22CODE1,L22CODE2,L22CODE3,L22DATE1,L22DATE2,L22DATE3,L23LIVE,L24APART,L25REASN,L25RESN2,L25RESN3,L25RESN4,L26RETRN,L27REASN,L27RESN2,L27RESN3,L27RESN4,L27RESN5,L28KID,L28BYHIM,DECEASED,L28FOSTR,L29LIVE,L29LIVE2,STDETAI,STEPCHIL
119181,1,2,9,9,9,9999,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,9999,9999,9999,9999,9999,9999,9999,99,1,  1, 52,42,  5,  1, 1, 1,  6,  2,9999,9999,9999,9999,9999,777,  1,   3,9999,9999,10, 1,1,  1,  4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  1,   1,9,9999,   1,9999,  5,  2
119194,1,2,9,9,9,9999,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,9999,9999,9999,9999,9999,9999,9999,99,1,  1, 51,40,  5,  1, 1, 1,  7,  2,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  1,  4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  1,  1
119208,1,2,9,9,9,9999,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,9999,9999,9999,9999,9999,9999,9999,99,1,  1, 42,39,  1,  1, 1, 1,  4,  9,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  5,  4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  1,  1
129052,1,2,9,9,9,9999,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,9999,9999,9999,9999,9999,9999,9999,99,1,  1, 18,18,  1,  1, 1, 1,  4,  2,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  5,  1,  19,9999,9999,9999,   1,  14,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  2,  2
129053,1,2,9,9,9,9999,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,9999,9999,9999,9999,9999,9999,9999,99,1,  1, 21,22,  1,  1, 1, 1,  4, 10,9999,9999,9999,9999,9999,777,  1,  11,   2,9999, 8, 3,1,  5,  1,  24,9999,9999,9999,   1,   9,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  2,  2
129117,1,2,9,9,9,9999,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,9999,9999,9999,9999,9999,9999,9999,99,1,  1, 19,21,  1,  3, 1, 1,  3,  1,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  1,  4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  1,   2,9,9999,   2,9999,  5,  2
138068,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 34,38,  1,  1, 1, 1,  5,  2,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  2,  2,   6,9999,9999,9999,   2,9999,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  1,  1
139403,1,2,9,9,9,9999,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,9999,9999,9999,9999,9999,9999,9999,99,1,  1, 36,36,  1,  1, 1, 1,  4,  2,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  1,  4,9999,9999,9999,9999,9999,9999,9999,9999,9999,9999,  1,   3,9,9999,   2,9999,  5,  2
148059,1,1,3,2,1,   2,1,   2,9999,9999,9999,9999,1,   6, 1,   2,99,99,13,12, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 23,30,  2,  1, 1, 1,  4,  2,9999,9999,9999,9999,9999,777,  2,9999,9999,9999, 1, 1,1,  5,  1,   7,9999,9999,9999,   2,9999,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  1,  1
148092,1,1,1,1,1,   1,1,9999,9999,9999,9999,9999,1,9999, 1,9999,99,99, 1, 1, 1,1,   1,9999,9999,9999,9999,9999,9999,99,1,  1, 18,18,  1,  1, 1, 1,888,  8,9999,9999,9999,9999,9999,777,  1,   8,9999,9999, 1, 1,1,  2,  1,   6,9999,9999,9999,   2,9999,9999,9999,9999,9999,  3,9999,9,9999,9999,9999,  2,  2
