CASEID,INVIEWN,B1AGE,AGER,AGERR,B2EDU,HIGHSCHL,B3EMPLY1,B3EMPLY2,B3EMPLY3,B3EMPLY4,EMPLOYR,UNEMPLOY,HOMEMAKR,B3HOURS,B3VHOUR,B3STUDNT,B4CHANGE,B5CODE1,B5DATE1,B5CODE2,B5DATE2,B5CODE3,B5DATE3,B6RACE,RACER,B6HSPNIC,B6OTHER,B7BIRTH,B7PLACE,B7PLACER,F14CHICG,B8MARITL,MARRIED,SINGLE,SCRSTAT,SCRSTATR,FINSTAT,FINSTATR,ABUSED,CHNGSTAT,CHGTONAW,NAWYEAR,RELAC1,LENGTHC1,C1SITUAT,PARTNERS,PABUSE,SPANISH1,INMONTH,INYEAR,INDAY
139403,1,36,4,2,  3,  0,  9,9999,9999,9999,4,1,0,9999,99,9999,  1,   2,24,9999, 1,9999, 1,  1,1,1, 1,  1, 30,  2,  2,  1,  0,  1,  1,  1, 2,2,2,2, 2,99,  3,6,9,9,9,2, 2,1998, 3
148059,1,30,3,2,  4,  1,  9,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,1,3,2,1,2, 9,1997,25
148092,1,18,1,1,  3,  0,  9,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,2,1,1,1,2,10,1997, 3
148099,1,27,3,1,  3,  0,  8,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  9,1,1,1,1,2,10,1997, 3
148100,1,18,1,1,  3,  0,  8,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,2,1,1,1,2,10,1997, 3
148106,1,21,2,1,  4,  1,  8,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 30,  2,  2,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,2,1,1,1,2,10,1997,21
148107,1,32,4,2,  3,  0,  3,9999,9999,9999,1,0,0,  25,99,9999,  1,  11,16,  12,20,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,3,1,1,1,2,10,1997,21
148108,1,35,4,2,  3,  0,  9,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,3,1,1,1,2,10,1997,21
148109,1,20,1,1,  3,  0,  7,9999,9999,9999,3,0,0,9999,99,   2,  1,   8, 5,   7,20,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  6,1,3,4,3,2,10,1997,22
148110,1,32,4,2,  4,  1,  9,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1,  3,  2,  2,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,5,1,1,1,2,10,1997,16
148111,1,27,3,1,  8,  1,  8,9999,9999,9999,4,1,0,9999,99,9999,  1,   2,14,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,999,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  6,5,1,1,1,2,10,1997,16
148113,1,27,3,1,  4,  1,  9,9999,9999,9999,4,1,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  4,  0,  0,  1,  1, 1,1,1,1,99,99,  2,5,1,1,1,2,10,1997,17
148115,1,31,4,2,  5,  1,  8,9999,9999,9999,4,1,0,9999,99,9999,  1,   2,26,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  6,2,1,1,1,2,10,1997,21
148118,1,36,4,2,  4,  1,  3,9999,9999,9999,1,0,0,  20,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 29,  5,  2,  1,  0,  1,  1,  1, 1,1,1,1,99,99,  5,1,3,2,1,2,10,1997,10
148119,1,39,4,2,  5,  1,  2,9999,9999,9999,1,0,0,9999,99,9999,  2,9999, 1,9999, 1,9999, 1,  1,1,1, 1,  1, 19,  1,  1,  5,  0,  0,  2,  2, 1,1,1,2,99,99,  5,5,1,1,1,2,10,1997,10
148120,1,19,1,1,  4,  1,  7,9999,9999,9999,3,0,0,9999,99,   1,  1,   7, 3,   1,14,   2, 7,  1,1,1, 1,  1, 19,  1,  1,  1,  0,  1,  4,  1, 1,1,1,1,99,99,  6,1,1,1,1,2,10,1997,10
