CASEID,G1NUMBER,H1JEALUS,H2LIMIT,H3KNOWNG,J1HIT,J2THROWN,J3PUSH,J4SLAP,J5KICK,J6OBJECT,J7BEAT,J8CHOKE,J9KNIFE,J10GUN,J11SEX,POWER,HARASS,B1AGE,AGEDISP,STDETAI,SAMESEXR,N11DRUGS,N12ALCHL,N13SUHIM,N16CHILD,N17ARRST,N1FRQNCY,N2SVRITY,N3WEAPON,N4CHOKE,N5SEX,N6CONTRL,N8JEALUS,N10CPBLE
168518,9999,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,0,18,5,5,9999,2,2,2,2,888,2,2,2,2,2,2,1,2
168519,9999,1,2,1,1,2,1,2,2,2,1,1,2,2,1,2,0,24,1,1,9999,2,1,1,2,1,2,2,2,1,1,1,2,1
168524,9999,1,1,1,1,2,2,2,2,2,2,2,2,2,2,5,5,24,1,1,9999,2,2,2,2,888,2,2,2,2,2,1,1,2
168526,9999,1,1,1,1,2,1,1,1,1,1,1,1,2,1,4,5,18,1,2,9999,2,2,2,2,1,2,2,1,1,1,1,1,1
168563,9999,1,1,1,1,2,1,1,1,2,1,1,2,2,2,5,10,25,1,1,9999,1,2,2,2,1,2,2,2,1,2,1,1,2
168610,9999,1,2,1,1,1,1,1,1,1,1,1,1,2,2,3,7,18,4,5,9999,2,1,1,2,1,2,2,1,1,2,1,1,1
168612,9999,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,22,1,2,9999,2,1,2,2,1,2,2,2,2,1,2,2,2
168616,9999,1,1,1,1,2,1,2,1,2,1,1,2,2,2,4,9,18,1,5,9999,2,1,2,1,1,2,2,1,1,2,1,1,2
168618,9999,2,2,2,1,2,2,1,2,2,1,1,2,2,2,0,0,50,1,3,9999,2,2,2,2,2,2,2,1,2,1,1,2,1
168619,9999,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,8,41,4,2,9999,2,1,2,2,1,1,1,1,1,1,1,1,1
168624,9999,1,2,1,1,2,1,2,1,2,2,2,2,2,2,3,2,18,1,5,9999,2,2,2,2,2,2,2,2,2,2,1,2,2
168627,9999,1,2,1,1,2,1,2,2,2,2,2,1,2,1,3,5,18,4,5,9999,2,2,2,2,2,2,2,2,2,1,1,1,1
168628,9999,1,2,1,2,2,2,2,2,2,2,2,2,2,1,3,1,31,1,5,9999,2,2,2,2,2,2,2,2,2,1,1,2,2
169069,9999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,19,1,5,9999,2,2,2,2,2,3,3,3,3,3,3,3,3
169203,9999,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,19,4,2,9999,2,2,2,2,1,3,3,3,3,3,3,3,3
169206,999,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,20,1,5,9999,2,2,2,2,1,3,3,3,3,3,3,3,3
169207,9999,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,26,1,5,9999,2,2,2,2,2,3,3,3,3,3,3,3,3
169240,9999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,32,1,1,9999,2,2,2,2,1,3,3,3,3,3,3,3,3
169243,9999,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,0,19,1,5,9999,2,2,2,2,2,3,3,3,3,3,3,3,3
169244,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,21,1,2,9999,2,1,2,2,1,3,3,3,3,3,3,3,3
169248,9999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,32,1,1,9999,2,2,2,2,1,3,3,3,3,3,3,3,3
169249,9999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,27,1,2,9999,2,2,2,2,1,3,3,3,3,3,3,3,3
169250,9999,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,1,18,4,5,9999,2,2,2,2,2,3,3,3,3,3,3,3,3
169254,9999,1,2,1,2,2,2,2,2,2,2,2,2,2,2,3,2,29,4,5,9999,2,2,2,2,888,3,3,3,3,3,3,3,3
169326,9999,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,18,1,2,9999,2,2,2,2,1,3,3,3,3,3,3,3,3
169331,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,0,19,1,2,9999,2,2,1,2,2,3,3,3,3,3,3,3,3
169343,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,26,4,3,9999,2,1,2,2,1,3,3,3,3,3,3,3,3
169352,9999,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,20,4,1,9999,2,2,2,2,2,3,3,3,3,3,3,3,3
169353,9999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,28,1,5,9999,2,1,2,2,1,3,3,3,3,3,3,3,3
169404,9999,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,28,1,1,9999,2,1,2,2,1,3,3,3,3,3,3,3,3
169517,9999,4,4,4,4,4,4,4,2,4,4,2,2,2,4,0,1,19,999,1,9999,2,2,2,2,1,3,3,2,2,2,2,2,2
169613,9999,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,22,1,5,9999,2,1,1,2,1,3,3,3,3,3,3,3,3
169615,9999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,43,1,3,9999,2,2,2,2,2,3,3,3,3,3,3,3,3
169617,9999,1,1,1,2,2,2,2,2,2,2,2,2,2,2,4,1,26,1,5,9999,2,2,2,2,2,3,3,3,3,3,3,3,3
