CASEID,QUESTION,FEMTALK,AW,SAMESEX,VICSEX_C,VICAGE1,VICAGE_C,VRACE_C,SEXRCE_C,OFFSEX_C,OFFAGE1,OFFAGE_C,WOMANAGE,MANAGE,AGEDISP,OFFRAC_C,SXRAC1_C,VREL1_C,OREL1_C,HUSCPD,C1RELATE,INJYR_C,INJMNT_C,INJDTE_C,INJDAY_C,INJTM_C,DETHYR_C,DTHMON_C,DTHDTE_C,DTHTIM_C,SUICIDE,SUICISEX,DTHOF1_C,OSUCID_C,INITIATE,SEVERITY,FORCEDSX,INJURED,LEAVING,LEAVINGW,GOAWAY,INVADE,INVADER,JEALOUSY,JEALR,INFIDLTY,ALCODRUG,ALCDRGR,PREABUSE,OVERALL,OVERALL1,CAUSEF_C,NUMVIC_C,LOCTON_C,PLACE_C,PHOME,PLACE_Q,WPCAL_C,WEAPON_C,FIREARM,WEAPON_Q,WEAPDETA,CLEAR_C,NCHARGE,UCRCODE1,UCRCODE2,UCRCODE3,UCRCODE4,UCRCODE5,DSCHG1,DSCHG2,DSCHG3,DSCHG4,DSCHG5,TMCHG1,CHRGN1,CHRGN2,CHRGN3,CHRGN4,CHRGN5,TMCHG2,TMCHG3,SUMMNEW
78,1,0,2,0,1,4,32,1,2,2,4,32,32,32,1,1,6,101,102,1,  1,96,10,23,4,  45,96,10,23, 730,2,2,0,0,1,  40,0,1,0,0,0,0,0,0,0,9,2,1,0, 1,10,110,1,1107,1,1,1, 8, 6,0,  6, 1,3,0,600,999, 999, 999,999,23,88,88,88,88,3333, 5, 1,1,1,1, 1,1,17
79,1,0,1,0,2,4,36,1,6,1,4,39,36,39,1,1,2,704,703,0,  6,96,10,23,4, 910,96,10,23, 910,2,0,0,0,1,  10,0,0,3,1,1,1,1,1,1,2,0,0,0, 5,30,167,1,1101,1,1,2,10, 6,0,  6, 1,5,1,110,999, 999, 999,999, 1,88,88,88,88,1000, 7, 1,1,1,1, 1,1, 1
80,1,0,1,0,2,3,27,3,7,1,4,33,27,33,4,3,3,104,103,0,  3,96,10,28,2, 314,96,10,28, 314,2,0,0,0,1,  10,0,0,0,0,0,0,0,0,0,9,0,0,0, 2,20,137,1,1107,1,1,1,22,10,0, 10, 1,5,1,110,999, 999, 999,999, 1,88,88,88,88, 500, 7, 1,1,1,1, 1,1, 1
81,1,1,1,0,1,4,36,1,2,2,4,35,35,36,1,1,6,401,402,0,  3,96,10,31,5,2210,96,10,31,2210,2,2,0,0,1,  40,0,1,0,0,0,0,0,0,0,0,0,0,0, 2,20,110,1,1101,1,1,1, 7, 6,0,  6, 1,5,1,110,999, 999, 999,999, 1,88,88,88,88,  60, 7, 1,1,1,1, 1,1, 5
82,1,0,1,0,2,2,21,1,6,1,2,24,21,24,1,1,2,402,401,0,  5,96,11,21,5, 900,96,11,21, 900,2,0,0,0,1,   0,0,0,0,0,0,0,0,0,0,0,0,0,0, 5,30,970,1,2301,9,0,2,15, 4,1,  4, 1,5,4,110,110,4420,4230,999, 1, 1, 1,22,88,9999, 7,10,2,2,1, 9,4, 1
83,1,0,1,0,2,1,18,1,6,1,1,20,18,20,1,1,2,402,401,0,  5,96,11,21,5,2312,96,11,21,2312,4,0,0,0,1,  10,0,0,1,1,0,0,0,2,1,1,0,0,0, 2,20,137,1,1101,1,1,1, 1, 1,1,  1, 1,5,1,110,999, 999, 999,999, 1,88,88,88,88, 500, 7, 1,1,1,1, 1,1, 1
84,2,0,0,0,2,2,21,1,6,1,2,22,21,22,1,1,2,704,703,0,777,96,11,26,3,1000,96,11,26,1000,2,0,0,0,1,  10,0,0,3,1,1,1,1,0,0,0,0,0,0, 5,30,110,1,1101,1,1,2, 8, 6,0,999, 1,5,2,110,110, 999, 999,999, 1, 1,88,88,88, 700, 7,11,1,1,1, 8,1, 3
85,1,0,1,0,2,5,42,2,5,1,5,50,42,50,4,2,1,402,401,0,  6,96,12, 4,4, 210,96,12, 4, 210,2,0,0,0,1,  10,0,0,0,0,0,0,0,0,0,0,3,1,0, 4,50,120,1,2200,9,0,7, 1, 1,1,  1, 1,5,1,110,999, 999, 999,999, 1,88,88,88,88, 330, 7, 1,1,1,1, 1,1, 1
86,1,0,1,0,2,5,45,1,6,1,4,35,45,35,3,1,2,402,401,0, 12,96,11,30,7, 430,96,12, 7,1755,2,0,0,0,1,  10,0,0,3,1,0,0,0,1,1,0,9,1,0, 5,30,110,1,1109,2,0,3,22,10,0, 10, 1,5,1,110,999, 999, 999,999, 1,88,88,88,88, 300, 7, 1,1,1,1, 1,1, 1
87,1,0,1,0,2,6,54,1,6,1,5,44,54,44,3,1,2,102,101,1,  2,96,12,16,2,2305,96,12,16,2305,2,0,0,0,1,  10,0,0,0,0,0,2,1,0,0,0,0,0,0, 3,50,120,1,1101,1,1,1, 5,11,0, 13, 1,5,1,110,999, 999, 999,999, 1,88,88,88,88, 450, 7, 1,1,1,1, 1,1, 1
88,2,0,0,0,2,4,36,3,7,1,5,45,36,45,4,3,3,402,401,0,777,95,11,24,6, 107,95,11,24, 107,2,0,0,0,1,  10,0,0,0,0,0,0,0,1,1,2,3,1,0, 6,20,110,1,1202,4,0,9,14, 2,1,999, 1,5,1,110,999, 999, 999,999, 1,88,88,88,88, 350, 7, 1,1,1,1, 1,1, 1
89,1,0,2,0,1,6,63,1,2,2,2,24,24,63,6,1,6,401,402,0,  5,95, 2,14,3,1820,95, 2,14,1820,2,2,0,0,2,  10,0,0,0,0,0,0,0,0,0,0,3,1,0, 3,40,120,1,1101,1,1,2, 8, 6,0,  6, 1,3,0,600,999, 999, 999,999,23,88,88,88,88,3333, 5, 1,1,1,1, 1,1,17
