CASEID,SEVEREST,SEVERER,TOTINC,TOTINCR,RECENT,RECENTR,RECENTRR,THREATS,THREATR,SLAPPING,SLAPR,PUNCHING,PUNCHR,BEATING,BEATR,TWEAPON,UWEAPON,FORCEDSX,FORCEDR,WEAPON,GUN,KNIFE,MISCARR,RESTRAIN,CHOKED,CHILD,NDRUNK,RDRUNK,BOTHDRUN,NDRUGS,RDRUGS,BOTHDRUG
148459, 3,2,  1,  1, 45,  3,  0,  0,  0,  0,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0
148521, 2,1,  1,  1,102,  4,  0,  0,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
148559, 1,1,  1,  1,126,  4,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
148560, 4,2, 15,  4, 28,  2,  0,  0,  0,  4,  2,  6,  3,  4,  2,  1,  0,  1,  1,  0,  0,  0,  0,  1,  3,  4,  0,  4,  0,  0,  0,  0
148611, 3,2, 72,  4,  3,  1,  0, 35,  4, 33,  4,  3,  2,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0, 99,  3, 15,  0,  0,  0,  0,  0
148614,-1,1,  1,  1,109,  4,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  1,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0,  0,  0,  0
158095, 1,1,  1,  1,188,  5,  1,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
158522, 4,2, 18,  4,  6,  1,  0, 14,  4,  0,  0,  1,  1,  0,  0,  1,  0,  2,  2,  1,  0,  1,  0,  1,  0,  0,  3,  0,  0,  0,  0,  0
158523, 2,1,  3,  2, 13,  2,  0,  0,  0,  0,  0,  2,  2,  0,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0
158561, 5,2, 11,  4,170,  4,  0,  0,  0,  0,  0,  8,  3,  1,  1,  1,  1,  0,  0,  1,  0,  1,  0,  0, 99,  0,  0,  0,  0, 10,  0,  0
158625, 1,1,  1,  1, 24,  2,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
168071, 4,2,  4,  2,134,  4,  0,  0,  0,  2,  2,  1,  1,  0,  0,  1,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0
168072, 2,1,  5,  3, 36,  3,  0,  0,  0,  3,  2,  1,  1,  0,  0,  0,  0,  2,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
168091, 2,1,  2,  2,  1,  1,  0,  1,  1,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
168105, 1,1,  1,  1, 84,  4,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0
168121, 2,1,  1,  1,165,  4,  0,  0,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  1,  0,  0,  0,  0,  0
168123, 1,1,  1,  1, 63,  4,  0,  0,  0,  1,  1,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
168202, 1,1,  2,  2,286,  5,  1,  0,  0,  2,  2,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0
